나이성별,차량아이디,차량아이디_빈도수,scaled_차량아이디_빈도수
51,36,90,1.5144508670520231
25,107,47,1.5734072022160666
45,91,517,3.836896762370189
83,91,102,4.040133779264214
6,90,8,1.183673469387755
29,84,392,6.666666666666667
4,123,12,1.1983967935871744
25,132,48,1.5858725761772854
68,111,31,1.1908127208480566
26,95,344,4.348156182212581
81,101,57,5.0
22,119,148,2.541958041958042
63,119,105,1.850909090909091
23,101,462,5.095755182625863
70,101,372,3.7436318816762535
64,51,1133,8.035911602209945
43,55,347,2.3939122649955236
83,13,218,7.531772575250836
114,13,23,4.8076923076923075
49,91,287,2.6978891820580477
53,14,629,10.0
41,86,78,1.5242057488653555
52,124,594,5.960037174721189
33,51,121,4.343653250773993
44,119,492,2.4158923421980134
27,76,42,1.5829383886255923
3,124,183,6.266881028938906
92,76,16,1.6026785714285716
23,124,627,6.5616979269496545
113,124,21,5.615384615384616
110,124,73,4.6818181818181825
26,78,34,1.322125813449024
44,86,305,1.8766421018904198
39,113,4,4.0
57,97,23,3.444444444444444
22,101,323,4.3776223776223775
26,31,177,2.7180043383947936
88,13,278,5.524500907441016
11,48,46,2.8080357142857144
56,73,24,1.7666666666666666
74,29,10,1.2539184952978055
32,138,8,1.1211538461538462
43,73,73,1.2900626678603402
67,114,251,2.944684528954192
48,48,890,4.8934306569343065
33,107,56,2.5325077399380804
26,13,709,7.911062906724512
31,124,248,5.4282868525896415
5,14,281,9.4
45,51,699,4.837507635919365
30,113,417,6.356223175965665
44,124,2167,7.24607497596924
50,75,46,1.2361516034985423
43,48,840,4.380035810205909
28,71,84,1.8798586572438163
45,103,154,1.8411728772144165
61,91,139,3.3258426966292136
63,55,170,2.382727272727273
42,40,228,2.293856871437619
46,13,1605,7.227782571182053
56,14,271,10.0
61,40,158,3.646067415730337
23,35,94,1.826258637709773
21,40,151,3.2959183673469385
45,97,161,1.8796579108124618
24,91,602,5.1258581235697935
56,13,171,6.666666666666667
81,11,6,1.3571428571428572
54,26,66,1.9390048154093098
49,130,40,1.2315303430079156
48,41,16,1.0656934306569343
62,14,529,9.136986301369863
64,13,1170,8.265883977900552
6,124,155,5.040816326530613
51,50,42,1.2369942196531791
44,91,1253,4.6103812880487025
48,55,304,2.3270072992700728
66,43,145,1.9165487977369167
48,95,787,4.4423357664233585
43,16,251,2.007162041181737
2,48,96,4.995327102803738
47,124,1048,6.986658195679796
64,48,681,5.226519337016574
43,70,33,1.1289167412712624
66,57,65,1.4073550212164072
47,128,24,1.1315120711562898
62,97,177,3.7123287671232874
72,55,84,2.156346749226006
48,43,200,1.8715328467153285
103,51,58,6.700000000000001
79,14,7,5.909090909090909
25,119,110,2.3587257617728534
84,88,33,1.8299711815561959
45,84,957,6.2559560171044595
42,84,749,5.263457884737176
46,50,98,1.3766177739430543
81,113,8,1.5
43,26,224,1.8983885407341092
41,101,710,5.8267776096823
3,14,312,10.0
7,16,19,1.4879518072289155
50,52,18,1.0892128279883382
88,26,56,1.8983666061705988
66,84,744,5.72913719943423
24,84,690,5.729977116704805
79,84,8,6.7272727272727275
66,51,744,5.72913719943423
46,91,918,4.560396893874029
69,91,201,2.533219761499148
45,86,203,2.110568112400733
24,111,43,1.2883295194508009
14,100,3,1.1565217391304348
44,43,534,2.537007369432874
52,13,644,6.3782527881040885
47,86,236,2.343710292249047
63,95,369,4.010909090909092
61,57,8,1.1179775280898876
88,84,377,7.141560798548094
43,35,205,1.8218442256042973
51,101,288,2.658959537572254
21,21,35,1.5204081632653061
64,101,800,5.9661602209944755
44,106,164,1.4700416533162448
51,124,425,3.4508670520231215
81,91,42,3.928571428571429
72,136,63,1.8637770897832815
64,84,798,5.953729281767956
48,91,564,3.4656934306569345
21,13,572,9.739795918367347
47,84,956,6.460609911054638
46,71,399,2.545297670405522
4,14,363,7.5290581162324655
66,33,40,1.2482319660537482
25,16,63,1.7728531855955678
44,101,1768,6.0954822172380645
49,76,84,1.4927440633245384
70,136,95,1.6951520131470832
49,14,1517,9.999999999999998
44,8,103,1.294136494713233
31,101,141,3.5099601593625502
64,97,244,2.5103591160220993
50,20,174,1.907871720116618
23,97,155,2.368213228035538
75,35,32,3.491071428571429
48,13,1148,6.023357664233577
32,132,45,1.7615384615384615
61,71,45,1.7415730337078652
72,14,647,9.999999999999998
3,90,7,1.1736334405144695
71,14,603,10.0
67,132,84,1.6456352636127916
62,13,479,8.366438356164384
8,14,413,10.0
8,88,13,1.262135922330097
70,34,299,3.2037797863599016
32,84,342,6.901923076923077
44,20,129,1.369112463953861
66,76,122,1.7701555869872703
71,84,432,7.443521594684386
42,88,58,1.324889170360988
66,101,591,4.755304101838755
23,13,712,7.316880552813425
32,91,209,4.6
46,20,157,1.6056945642795513
12,106,9,1.404494382022472
41,48,516,4.506051437216339
25,124,486,7.045706371191136
46,48,1068,5.142795513373597
23,16,87,1.7640671273445212
67,13,565,5.387208297320657
67,91,245,2.898012100259291
44,132,236,1.6776674142902916
52,84,779,7.507434944237917
46,14,2319,10.0
86,101,186,4.766968325791855
71,17,33,1.478405315614618
70,51,381,3.8101889893179948
26,124,695,7.774403470715836
49,35,203,2.199208443271768
28,65,13,1.127208480565371
90,48,199,4.466926070038911
11,91,62,3.4508928571428577
31,113,381,7.812749003984065
31,14,503,10.000000000000002
24,13,1099,8.537757437070939
65,11,163,2.4308145240431798
88,43,63,2.0127041742286753
43,107,124,1.4955237242614146
51,85,85,1.4855491329479769
83,48,82,3.4381270903010037
44,76,217,1.6228772829221403
61,13,470,8.904494382022472
46,16,257,1.993960310612597
66,14,1415,10.0
59,97,9,3.25
72,13,319,5.430340557275542
36,14,95,10.0
41,26,118,1.7965204236006052
71,107,43,1.627906976744186
47,21,134,1.7604828462515885
71,51,101,2.4950166112956813
71,119,20,1.2840531561461794
12,138,4,1.151685393258427
63,16,164,2.333636363636364
84,13,326,9.429394812680115
45,18,30,1.1594379963347587
42,71,161,1.9119696010132996
41,40,323,3.192133131618759
89,124,262,6.3752860411899315
24,48,653,5.475972540045766
21,138,16,1.2295918367346939
22,84,320,4.346153846153846
108,51,114,5.003937007874016
29,91,156,3.2463768115942027
72,11,99,2.3653250773993806
48,113,1683,8.366423357664235
25,20,55,1.6731301939058172
70,107,66,1.4806902218570255
9,113,88,4.023166023166024
63,101,558,5.557272727272728
64,36,53,1.3232044198895028
9,107,11,1.3474903474903475
25,35,88,2.0844875346260388
47,50,64,1.3602287166454892
23,14,1014,10.0
18,97,11,6.294117647058823
30,43,109,2.3905579399141628
76,123,3,1.1592920353982301
102,14,36,5.038461538461538
48,16,236,2.0291970802919708
45,20,139,1.7587049480757484
53,113,485,7.936305732484077
83,101,176,6.2675585284280935
1,76,4,1.1413612565445026
49,48,394,3.3331134564643796
6,13,244,7.376093294460642
42,97,452,3.570614312856238
28,124,512,6.41696113074205
6,14,344,10.0
69,21,106,1.8049403747870527
52,59,15,1.1171003717472119
45,50,64,1.346365302382407
61,101,296,5.97191011235955
69,84,660,6.051959114139693
44,123,179,1.513297020185838
50,26,192,2.002332361516035
24,107,70,1.4736842105263157
72,124,381,6.294117647058823
41,84,805,6.473524962178518
64,119,220,2.361187845303867
21,50,19,1.2755102040816326
87,101,116,3.2797356828193833
53,17,44,1.6162420382165603
53,13,255,4.640127388535032
47,19,40,1.2229987293519695
56,91,117,4.866666666666666
27,5,36,1.4976303317535544
54,11,77,2.097913322632424
68,11,218,2.3802120141342757
22,15,8,1.0734265734265733
54,51,265,4.813804173354735
72,85,68,1.9334365325077398
56,35,65,3.1333333333333333
74,90,1,1.0
54,95,198,3.845906902086677
7,100,7,1.1626506024096386
69,113,795,7.086882453151619
63,114,36,1.2863636363636364
69,100,37,1.2759795570698467
30,14,700,10.0
50,88,67,1.3463556851311953
78,26,11,3.7272727272727275
68,20,105,1.6614840989399293
22,13,692,8.248251748251748
66,48,539,4.424328147100424
109,84,169,8.636363636363637
69,124,599,5.584327086882453
17,146,2,1.391304347826087
70,13,569,5.200493015612161
7,51,237,7.397590361445784
24,26,145,1.988558352402746
4,13,293,6.266533066132265
12,128,1,1.0
11,71,5,1.1607142857142858
47,57,56,1.3144853875476494
7,124,137,4.686746987951807
53,124,304,5.342356687898089
52,57,68,1.5604089219330854
47,85,83,1.468869123252859
24,20,80,1.54233409610984
25,91,227,3.8171745152354575
28,14,850,10.0
84,124,286,8.39193083573487
92,21,30,2.1651785714285716
87,123,22,1.4162995594713657
71,70,8,1.1046511627906976
49,95,584,4.46108179419525
101,57,1,1.0
47,91,402,3.292884371029225
31,37,11,1.1792828685258965
28,51,509,6.385159010600707
7,101,60,2.5993975903614457
53,11,81,2.146496815286624
33,113,176,5.876160990712074
92,50,15,1.5625
10,128,3,1.0501392757660168
26,86,111,2.0737527114967462
28,53,75,1.7844522968197882
47,28,68,1.3831003811944091
9,14,260,10.0
46,76,216,1.8347713546160482
68,13,770,5.891166077738516
68,19,22,1.1335689045936397
24,119,254,2.736842105263158
53,46,5,1.0573248407643312
75,124,59,5.660714285714286
48,70,27,1.1138686131386861
5,95,85,3.5199999999999996
31,106,38,1.6633466135458168
41,43,172,2.164145234493192
48,35,275,2.2
76,132,5,1.3185840707964602
47,20,132,1.7490470139771284
5,31,31,1.9
50,136,170,1.8868804664723031
85,37,3,1.0493150684931507
86,91,159,4.217194570135747
27,17,19,1.2559241706161137
50,114,410,3.1463556851311956
66,75,42,1.2609618104667608
51,34,281,2.6184971098265892
47,108,9,1.04574332909784
72,128,6,1.0696594427244581
66,31,151,1.9547383309759547
23,28,64,1.5597235932872655
31,103,31,1.5378486055776892
28,84,509,6.385159010600707
21,51,515,8.86734693877551
110,85,14,1.6647727272727273
26,110,41,1.3904555314533622
44,111,116,1.331624479333547
84,71,70,2.7896253602305476
6,91,109,3.8338192419825075
51,100,24,1.1329479768786126
46,51,1378,6.346419327006039
27,50,29,1.3981042654028435
30,119,133,2.6995708154506435
43,53,377,2.5147717099373326
70,86,164,2.205423171733772
65,124,798,8.039254170755644
72,90,5,1.0557275541795665
23,127,50,1.435340572556762
104,14,118,8.3125
106,101,73,4.6000000000000005
105,91,42,3.476510067114094
86,14,443,10.0
52,34,257,3.141263940520446
42,48,816,5.645345155161494
56,107,24,1.7666666666666666
103,14,78,8.700000000000001
34,85,39,1.9606741573033708
47,101,487,3.7789072426937738
54,101,394,6.677367576243981
8,84,180,4.910194174757281
63,40,211,2.7181818181818183
6,101,93,3.41399416909621
48,30,89,1.3854014598540147
31,71,36,1.6274900398406376
54,107,60,1.8523274478330658
21,48,304,5.637755102040816
43,91,817,4.287376902417189
88,14,552,10.0
26,40,140,2.3568329718004337
46,84,1203,5.666954270923209
34,84,237,6.96629213483146
48,101,664,3.9036496350364964
43,20,123,1.4914950760966876
53,21,80,2.1321656050955413
26,44,11,1.0976138828633406
29,14,622,10.000000000000002
26,103,68,1.6540130151843817
30,51,396,6.085836909871245
26,37,8,1.0683297180043383
26,128,22,1.204989154013015
23,26,59,1.5153010858835143
52,85,166,2.380111524163569
52,14,1077,10.0
26,130,23,1.2147505422993492
2,106,6,1.2102803738317758
50,86,225,2.1755102040816325
47,130,51,1.2858958068614994
54,16,113,2.6179775280898876
57,76,4,1.3333333333333333
22,91,303,4.1678321678321675
51,14,925,6.341040462427745
48,20,154,1.6700729927007298
32,13,385,7.6461538461538465
30,78,22,1.2703862660944205
44,11,387,2.113104774110862
108,13,177,7.2362204724409445
62,91,202,4.097602739726027
49,107,118,1.6945910290237467
65,55,152,2.333660451422964
97,86,6,3.9999999999999996
3,84,136,4.906752411575562
87,86,52,2.011013215859031
65,95,455,5.009813542688911
64,103,114,1.7023480662983426
46,97,351,2.35893011216566
23,91,369,4.269496544916091
64,86,99,1.6091160220994474
45,9,22,1.1154551007941356
30,11,106,2.351931330472103
29,35,68,1.9710144927536233
25,48,305,4.7894736842105265
72,16,80,2.1006191950464395
44,88,140,1.4008330663248958
102,51,79,10.000000000000002
30,90,3,1.0257510729613735
68,57,84,1.5279151943462899
49,16,141,1.8311345646437993
85,123,18,1.4191780821917808
26,91,420,5.09002169197397
72,17,28,1.3761609907120742
47,113,1575,9.999999999999998
44,103,311,1.893944248638257
21,14,589,10.0
89,142,2,1.0205949656750573
1,14,192,10.0
49,132,101,1.5936675461741425
52,91,438,4.655204460966543
23,69,22,1.1865745310957552
11,35,18,1.6830357142857144
89,59,1,1.0
65,51,370,4.259077526987243
13,103,7,1.5869565217391304
23,53,181,2.5992102665350445
53,84,516,8.380573248407643
48,53,105,1.4554744525547445
102,48,37,5.153846153846153
65,43,84,1.7330716388616292
48,127,60,1.2583941605839417
112,13,73,8.714285714285714
71,113,553,9.252491694352159
34,97,83,3.0730337078651684
4,28,58,2.0280561122244487
76,36,21,2.5929203539823007
69,97,110,1.835604770017036
28,36,62,1.6466431095406362
3,19,2,1.0289389067524115
28,107,127,2.335689045936396
12,76,8,1.3539325842696628
32,14,521,10.0
27,124,495,8.023696682464454
51,108,5,1.023121387283237
71,106,32,1.463455149501661
10,57,6,1.1253481894150419
50,21,190,1.9918367346938775
54,124,349,6.02728731942215
50,34,421,3.2040816326530615
25,51,356,5.425207756232687
46,53,257,1.993960310612597
28,127,32,1.3286219081272086
41,71,100,1.6739788199697427
94,91,32,3.657142857142857
53,114,118,2.6767515923566876
44,44,6,1.0144184556231977
63,11,177,2.44
83,78,7,1.1806020066889633
52,11,145,2.204460966542751
50,27,19,1.094460641399417
65,14,1020,10.000000000000002
64,124,1171,8.272099447513812
3,11,22,1.607717041800643
89,36,39,1.7826086956521738
10,95,95,3.3565459610027855
86,134,12,1.2239819004524888
41,91,322,3.1853252647503782
25,84,411,6.110803324099723
87,13,242,5.777533039647578
52,48,280,3.3336431226765795
52,101,513,5.282527881040892
25,101,302,4.75207756232687
21,92,9,1.1224489795918369
62,20,11,1.154109589041096
21,101,272,5.1479591836734695
41,8,19,1.1225416036308624
52,132,78,1.6440520446096654
81,84,58,5.071428571428571
61,119,64,2.061797752808989
62,51,585,10.0
8,142,7,1.1310679611650485
41,11,83,1.5582450832072618
67,21,89,1.6845289541918755
26,108,6,1.0488069414316703
23,84,497,5.406712734452122
61,48,245,5.112359550561798
84,101,206,6.31700288184438
74,48,52,2.438871473354232
93,100,6,1.3879310344827587
49,114,294,2.7394459102902373
21,124,117,2.7755102040816326
48,51,784,4.429197080291971
26,59,80,1.7711496746203905
29,128,17,1.2318840579710146
55,101,110,5.228448275862069
53,55,64,1.9028662420382165
34,51,206,6.182584269662921
64,28,94,1.5780386740331491
33,50,18,1.473684210526316
41,33,42,1.279122541603631
43,11,366,2.4704565801253358
70,73,80,1.5842235004108463
33,13,182,6.043343653250774
86,35,33,1.6515837104072397
43,50,77,1.306177260519248
49,18,31,1.1781002638522429
86,17,13,1.244343891402715
27,41,15,1.1990521327014219
23,11,159,2.403751233958539
46,132,230,1.8891285591026747
47,34,377,3.1499364675984753
44,73,103,1.294136494713233
23,86,72,1.6307996051332676
28,132,56,1.5830388692579507
42,91,522,3.9696010132995565
51,11,161,1.9248554913294798
43,100,60,1.23769024171889
66,136,98,1.6173974540311173
26,16,106,2.024945770065076
26,85,60,1.5759219088937093
72,53,21,1.2786377708978327
50,55,196,2.0233236151603498
103,124,69,7.800000000000001
32,101,219,4.773076923076923
44,78,118,1.3373918615828262
64,91,620,4.847375690607735
3,101,100,3.864951768488746
32,24,11,1.1730769230769231
41,31,516,4.506051437216339
73,35,85,3.3625
25,142,12,1.1371191135734073
65,13,552,5.866535819430815
28,97,125,2.314487632508834
22,48,501,6.244755244755245
47,59,62,1.3487928843710293
17,13,22,9.217391304347828
36,91,60,6.648936170212766
68,78,65,1.4070671378091872
49,124,762,5.517810026385224
30,55,75,1.9527896995708154
32,43,72,2.228846153846154
41,136,31,1.2042360060514372
5,76,9,1.24
51,48,150,1.861271676300578
14,28,17,2.252173913043478
72,95,259,4.594427244582043
27,36,55,1.7677725118483412
74,43,33,1.90282131661442
26,48,526,6.12472885032538
68,91,440,3.792226148409894
48,11,279,2.2175182481751827
28,100,17,1.1696113074204948
54,84,529,8.62760834670947
24,75,49,1.3295194508009154
28,91,270,3.8515901060070674
4,132,27,1.468937875751503
51,84,637,4.676300578034682
72,84,429,6.962848297213623
45,114,256,2.4019547953573612
75,136,8,1.5625
74,51,116,4.244514106583072
111,35,14,2.983050847457627
10,51,211,6.264623955431755
24,78,53,1.356979405034325
14,51,95,8.356521739130436
